company_name,building_name,building_url,raw_address,phone
irt_living,Ridge Crossings,https://www.irtliving.com/Apartments-In/Hoover-AL/Ridge-Crossings,"100 Tree Crossings Parkway, Hoover, AL 35244",855.444.8689
irt_living,Ballpark Apartments at Town Madison,https://www.irtliving.com/Apartments-In/Madison-AL/Ballpark-At-Town-Madison,"200 Town Madison Boulevard, Madison, AL 35758",855.444.8715
irt_living,Bridge Pointe,https://www.irtliving.com/Apartments-In/Huntsville-AL/Bridge-Pointe,"7584 Old Madison Pike, Huntsville, AL 35806",833.509.2765
irt_living,Legacy at Jones Farm,https://www.irtliving.com/Apartments-In/Huntsville-AL/Legacy-At-Jones-Farm,"1 Legacy Farm Dr, Huntsville, AL 35802",833.509.2769
irt_living,Virtuoso,https://www.irtliving.com/Apartments-In/Huntsville-AL/virtuoso,"100 Rockcrest Drive, Huntsville, AL 35806",866.592.1922
irt_living,The Oasis,https://www.irtliving.com/Apartments-In/Colorado-Springs-CO/Oasis,"1495 Farnham Point, Colorado Springs, CO 80904",855.200.9848
irt_living,Bella Terra at City Center,https://www.irtliving.com/Apartments-In/Aurora-CO/Bella-Terra-at-City-Center,"15400 East Evans Ave., Aurora, CO 80013",855.200.6850
irt_living,Bristol Village,https://www.irtliving.com/Apartments-In/Aurora-CO/Bristol-Village,"17201 E. Walsh Way, Aurora, CO 80017",855.200.7339
irt_living,Destination at Arista,https://www.irtliving.com/Apartments-In/Broomfield-CO/Destination-at-Arista,"8705 Parkland Street, Broomfield, CO 80021",866.717.1934
irt_living,Flatiron Flats,https://www.irtliving.com/Apartments-In/Broomfield-CO/flatiron-flats,"11451 Via Varra, Broomfield, CO 80020",833.816.3617
irt_living,Patina Flats at the Foundry,https://www.irtliving.com/Apartments-In/Loveland-CO/Patina-Flats-at-Foundry,"246 N. Cleveland Avenue, Loveland, CO 80537",855.200.9997
irt_living,PeakView at T-Bone Ranch,https://www.irtliving.com/Apartments-In/Greeley-CO/PeakView-at-T-Bone-Ranch,"4750 West 29th St., Greeley, CO 80634",855.201.0138
irt_living,PeakView by Horseshoe Lake,https://www.irtliving.com/Apartments-In/Loveland-CO/PeakView-by-Horseshoe-Lake,"341 Knobcone Dr., Loveland, CO 80538",855.201.0167
irt_living,Millenia 700,https://www.irtliving.com/Apartments-In/Orlando-FL/Millenia-700,"4150 Eastgate Dr, Orlando, FL 32839",888.813.6001
